INCIDENCECODE,CLUSTER
2064809836987,1
2066908662566_0,85
2066908662566_1,24
2067032898309_1,-1
2067673513390,-1
2067781397610,7
2068926808111,74
2080004310506,-1
2081786648386,-1
2083735973679,1
2094811826348,-1
2096088870690,-1
2099904842544,22
2105737998697,4
2108934202767_0,7
2108934202767_1,-1
21123691405,16
2121242848198,44
2122952177531_0,4
2122952177531_1,4
213171054581,51
2133091598603,4
2133094278117,4
2136497321345,46
2137121195738,56
2139291774205,4
2141277336893_1,9
214170168509,16
2144607634635,46
2145736342783,3
2148916617493,4
2149565602240,39
2150414544789,4
2150806825746,39
2153373131472,-1
215542268020_1,4
2155572821947_0,93
2155572821947_1,-1
2155572821947_2,93
2155572821947_3,45
2165232207950_0,-1
2165232207950_1,80
2165372467473_1,4
2165523236990,1
2165647009705,-1
2166326898462_1,25
2166852055750,81
217218275191_0,67
217218275191_1,16
2173900465664_0,9
2173900465664_1,7
2173900465664_2,85
2175714639168_0,7
2175714639168_1,-1
2176555988725,1
2193902212368_1,37
2196796624891_0,5
2196796624891_1,33
2198978346547,-1
219966756439,16
2203859470549,18
2204207080716,1
2208517959648_0,4
2208517959648_1,4
2208517959648_2,33
2210362861323_1,4
2211222752329,-1
2218192439667,-1
2218667539753,19
2222497037125,12
2223704259892,15
2224146725319,94
222615081477,14
2229690230473,1
2229997446628_1,-1
2229997446628_2,4
2233546997515,-1
2239282618897_1,4
2239957854547,-1
2248442597446,1
2249430766393,95
2259523388958,16
2264659521413_1,-1
2269120217343,-1
2270638957441,96
2274807444032_1,32
2280306934632,1
2284201139544,4
2284884864294_0,4
2284884864294_1,16
2285044415876_0,13
2285044415876_1,4
228558667949_0,76
228558667949_1,7
228558667949_2,4
228558667949_3,4
2290023863575_1,4
2290962937905,46
2292937122923_0,20
2292937122923_1,31
2295963054470_1,24
2296233712603,39
2299327033296,18
2303485873123,4
2306140704708,63
2308697884717_1,7
2308956536644_0,13
2308956536644_1,89
2314867731396_1,32
2316118487694_1,32
2320199414566,-1
2321020831829_1,-1
2323577393061_0,4
2323577393061_1,3
2327626483688,71
2332019095871_1,4
2332019095871_2,11
2332019095871_3,24
2338209718391_1,52
2338209718391_2,53
2338321476610,1
2339160280081,85
2341267876273,1
2341346352921,16
2342382200828_1,97
2348479019463,4
2352607632608,-1
2355852436227_0,47
2355852436227_1,-1
2360088057637_1,16
2362871878775,4
2373462043114_1,-1
2373462043114_2,98
2373618174331,16
2376117662161,4
2380335657684,24
2383181306519,-1
2386527588346,-1
238809393672_0,28
238809393672_1,4
2389184773544_1,37
2391133977338_0,4
2391133977338_1,7
2391133977338_2,13
2401105909813,4
2407340124478,61
2408135725704,76
2410619115719,1
2415458870042,25
2420039760176,-1
2420803257646_1,32
2422160362780_0,18
2422160362780_1,99
242658982932,86
2431616967136,4
2432741601339,7
2434700137644,4
2435318319348,-1
2435985873371,10
2437113822013,4
2440666403807_1,32
2442117509097,-1
2447547075626,28
2449465951122,4
2453030943573,24
2459201850660,9
2461213824114,16
2464101687616,-1
2464900223183,24
2466400408687_1,4
2466785140674_1,32
248399930091_1,4
2484644678921,7
248486613306_1,64
2493002292834,1
2495306433220,16
2496612235507_1,7
2496612235507_2,-1
250072781131,4
2502459061631,4
2503536588041,4
