INCIDENCECODE,CLUSTER
8800656024108,-1
8803050864278,16
8809796001654,4
8813299136521,16
8813822112217,54
8818281300801,3
8832918774741,4
8837112465179,24
8841568915704_0,4
8841568915704_1,3
8841799192579_1,4
8849709775399,16
8854536268298,14
8863118037613_0,28
8863118037613_1,-1
8865224153314,18
886665652216,85
8868341325689,0
8873538026527_1,32
8876793502617,76
8883628579624,16
8884391244234,56
8887232704681_1,100
8887294846466,4
8888578398369,4
8896967072435,18
89060535231,-1
890894494073_1,4
8924114708494_0,4
8924114708494_1,101
892778000012,4
8930339328321_1,-1
8930339328321_2,13
8931737211706_1,36
8937877873807_1,32
8942025209903,95
8946339318771,-1
8951085312099,114
8955941922423_0,3
8955941922423_1,7
8957965631069,4
8965106718182,1
896603734933,116
8967388142967_1,32
8970767720753,1
8984606071715,1
8984808769383,83
8986217541818,15
8989821127105_0,3
8989821127105_1,-1
8994999652034_0,39
8994999652034_1,17
8995441132481,4
8996637018262_0,100
8996637018262_1,93
8997177045759_1,29
8997177045759_2,-1
8997177045759_3,29
8999791112436_0,28
8999791112436_1,15
9002188100175,39
9002217632190,16
9003930901662,42
9008359542988,-1
9008720067899_1,15
9009803778666,1
9016938525782,16
9018514188853_1,-1
9020867310166,-1
9026597666456_1,24
9032501670437_1,-1
9033448748603_0,1
9033448748603_1,14
9033448748603_2,-1
9033646818322,-1
9038930296952,15
9043299446715,54
9044941896317_0,7
9044941896317_1,-1
9048358949984,4
9055062869870,76
9057159365247_0,-1
9057159365247_1,55
906067299801,45
9063558375886,60
9063796347521,18
9070315963696_1,7
9070315963696_2,-1
9070315963696_3,-1
9070486538909,-1
9080290601417_0,29
9080290601417_1,5
9087457659463,4
9091100133123,4
9092123469121_0,1
9092123469121_1,-1
9092123469121_2,102
9092252425810,-1
9092954049919,85
909995548792_1,35
9105307936399,66
9107429411171_0,16
9107429411171_1,-1
9109092933957_1,7
9110057273107,4
9112884443597_1,-1
9112884443597_2,3
9114198472218,-1
9135208098369_0,102
9135208098369_1,-1
9135208098369_2,13
9135208098369_3,47
9140125054415_0,-1
9140125054415_1,-1
9140125054415_2,4
914340507165_0,4
914340507165_1,73
9145255999784,55
9147308083266_1,96
9151461782767,56
9151681513629_1,-1
9153345055314,9
9154438967271,4
9157849443971_1,-1
9157849443971_2,-1
9170828813961,4
9172324281082,15
9173849194456,7
917715766023,-1
9178560234808,4
9181149319418,1
9183937650848,1
918980435633_1,32
9190212292845_1,56
9191864475715,89
9194179853628,4
9194571738149,54
9194584632887_0,7
9194584632887_1,3
9199365931774_1,-1
9208357307046,-1
9210800941651,40
9211698600020,4
9212752569821_0,4
9212752569821_1,7
9212752569821_2,25
9212752569821_3,-1
921332201501,13
9216947423047_1,24
9219405560177,4
9219927853800_0,4
9219927853800_1,4
9220402515543,-1
9231630178691,19
9233399815893,9
9245716091261,1
9247449396019_0,7
9247449396019_1,-1
9252514366171_0,4
9252514366171_1,24
9260729745200_1,32
9272037145239,63
9272878841030_1,34
9280027439087,24
9287170213569,-1
9288702342328,18
9289036723635_1,4
9289036723635_2,4
9293969782307_1,4
929582746017_1,4
9295950937051_0,39
9295950937051_1,-1
9295950937051_2,17
9312119438804_0,38
9312119438804_1,115
9317733648558,-1
9319079841287_0,9
9319079841287_1,4
9321718620770,62
9329453214637,45
9330858576763,-1
933281379789,16
9333410892666_1,34
9336994821888_0,1
9336994821888_1,22
9337379951501_1,7
9337987200362_1,-1
9343744873139_0,18
9343744873139_1,4
9346781384005_1,4
9346781384005_2,24
9348135356634,4
9350439801947,50
9352881186161,-1
9354900341499,40
9357339208240,98
9357443846939,0
9359851206045,-1
936579336246_0,39
936579336246_1,17
9367075921656,1
9372630397876,54
9375236387491,11
9376908102031,-1
9378714933589_1,13
9378714933589_2,-1
9379238480079,19
9380855496342_1,7
9380855496342_2,-1
938124668401_1,32
938654508790,16
9387050709350,94
9397795373744,1
9400233285604,88
9406903668339,1
9418968836373,-1
9431728370377,16
9433823625648,4
9434159944589_1,90
9438723214078_1,32
9441547106738,46
9454130244674,54
9461142284902_1,69
9461142284902_2,5
9461142284902_3,70
9462013874151_1,4
9462881177066,18
9462959500788,7
9463479298738,16
946949945702,86
9469866402542,25
9476974153453,1
9478317301789,44
9484984044744,15
9488017248336,1
9491686396300_1,24
949633816911,40
9496469156632,71
9498565393459_0,4
9498565393459_1,4
9502142014689,19
9511077070257,-1
9515344243988,3
9515905240473_1,-1
9515905240473_2,99
951894163393,-1
952976541685_1,97
9530954002774_0,3
9530954002774_1,99
9531523375990_1,4
954292854425_0,74
954292854425_1,-1
954292854425_2,-1
9546886700910,-1
9547767516966_1,103
9548201872004,4
9550654638794,4
9551973646778,4
9559213639849,-1
9561691180954,-1
95687049377,4
9572144679165,18
9577579180620,1
9580492693269_1,5
9583580533659_0,112
9583580533659_1,-1
9583580533659_2,5
9583580533659_3,4
9585296439931_1,-1
9595488210609_1,3
9604439603277,20
9610942202743,0
961117221155,-1
961213736269_0,-1
961213736269_1,-1
961213736269_2,3
9612943050695_0,28
9612943050695_1,22
9613493115614,-1
9615778983106_1,5
9615778983106_2,-1
9619157051107_1,-1
9619157051107_2,61
9619343587341,-1
9619587434093,65
962979748902_1,32
9634605448637,38
9635726064411,18
9637002180567,4
9642820549468,24
9644806114262_1,5
9644806114262_2,4
9644806114262_3,107
9644806114262_4,3
9649164627952,15
9652066885087,-1
966205735023,57
9667297254078,19
9671753046801_1,-1
9671753046801_2,9
9673750317680,1
9675657968628,110
9676013272606_1,4
9678721688162_0,0
9678721688162_1,4
9680820031940,-1
968090689298,38
9680961388529,3
9683216585552_0,-1
9683216585552_1,5
9696115264516,-1
9710246198385,-1
9710443225346_0,-1
9710443225346_1,-1
9712189920197_1,4
9714338453237,7
9716396100713,-1
9724788643097,-1
9725322790464_1,82
9725322790464_2,70
9725322790464_3,4
972812401575_0,9
972812401575_1,113
9734957266244,3
9735386899242,39
9739371647944,56
9741161512288_1,88
9752860694781,18
9755002008063,16
9759666724869_1,-1
9761944271494,19
9762406002420,56
9766931279233_1,59
9766931279233_2,13
9769823933522,39
9780968643999,-1
9784932252620,-1
9784993492035_1,4
9788545789881,64
979130278449,50
9796967221215_1,30
9796967221215_2,66
9796967221215_3,-1
9800740082803_1,4
9800833140576,-1
9803693966358_0,102
9803693966358_1,-1
9804897829499,4
9805734395215_0,38
9805734395215_1,106
9806901535877_1,16
9807327221758,12
9814460898479,4
9814560172889_0,56
9814560172889_1,7
9814560172889_2,5
9815305571955,1
9816893010910_1,-1
9824402084173_1,24
9833794593359,21
9835748259523,-1
9837253699940_1,43
9838958701133_1,37
9838976682887,-1
9842730917812,41
984316905089_1,32
9843311945825,81
9846914664072,-1
9849286671547,1
9850288132353_1,49
9851216067172,16
9856145813615,10
9859560775426_1,80
9859560775426_2,81
9865221651086_1,32
9866970076871,-1
9869628233329_1,4
9873836106954_0,98
9873836106954_1,-1
9881961670282,-1
9882665786883,50
9891512211323,1
9898833379540,7
9899377309450_1,82
9899377309450_2,23
9901285480912_1,4
9905909645587,1
9911257993493,1
9911355569590,1
9913848142574,18
9919432316320,22
9925018941978_1,-1
9930593317213_0,6
9930593317213_1,114
9933085889584_1,99
9935327029432,1
9941615683181,9
9942161897787,95
9942635602536,16
9943935759226,16
9944529729425,4
9953489179301,39
9953490933324,76
9957883178390_1,-1
9958729288926_1,4
9958729288926_2,24
9962265838592_1,49
9962582556623,-1
9972825759104,3
9976467529212,22
9980677565725,58
9980914782522_0,9
9980914782522_1,9
9985354803732_1,72
9985914481834_0,112
9985914481834_1,-1
9985914481834_2,18
999285751546,16
9993237053537_0,-1
9993237053537_1,4
9993237053537_2,11
9993237053537_3,24
9998563674489,39
